drug_1_concept_name,drug_2_concept_name,condition_concept_name,PRR
"Insulin, Aspart, Human",standardized senna concentrate,Toxicity to various agents,1.66667
Hydroxocobalamin,Mirtazapine,Toxicity to various agents,35.0
tamsulosin,Bromazepam,Toxicity to various agents,5.0
Omeprazole,Gemfibrozil,Hepatotoxicity,1.0
Omeprazole,Gemfibrozil,Drug toxicity,0.37037
Omeprazole,Gemfibrozil,Therapeutic agent toxicity,12.0
Omeprazole,Gemfibrozil,Toxicity to various agents,1.42857
Cholecalciferol,Cetirizine,Toxicity to various agents,1.25
Butorphanol,Amitriptyline,Toxicity to various agents,6.66667
Ibuprofen,pregabalin,Drug toxicity,2.5
Ibuprofen,pregabalin,Toxicity to various agents,2.5974
Docusate,prednisolone,Haematotoxicity,10.0
Docusate,prednisolone,Drug toxicity,1.25
Docusate,prednisolone,Pulmonary toxicity,10.0
aripiprazole,atomoxetine,Toxicity to various agents,1.53846
Furosemide,Mometasone,Bone marrow toxicity,5.0
Furosemide,Mometasone,Hepatotoxicity,1.66667
Furosemide,Mometasone,Drug toxicity,2.22222
Furosemide,Mometasone,Therapeutic agent toxicity,35.0
Furosemide,Mometasone,Toxicity to various agents,3.5
Rabbit anti-human T-lymphocyte globulin,Metoprolol,Drug toxicity,5.0
Mycophenolic Acid,sevelamer,Toxicity to various agents,5.0
Fluoxetine,Risedronate,Drug toxicity,1.11111
Ribavirin,Lithium Carbonate,Drug toxicity,20.0
Mycophenolic Acid,Amiodarone,Toxicity to various agents,2.5
Oxycodone,sildenafil,Drug toxicity,2.30769
Oxycodone,sildenafil,Therapeutic agent toxicity,4.0
Oxycodone,sildenafil,Toxicity to various agents,0.666667
"Estrogens, Conjugated (USP)",Quinidine,Therapeutic agent toxicity,30.0
Carisoprodol,rizatriptan,Drug toxicity,10.0
varenicline,Potassium Chloride,Therapeutic agent toxicity,10.0
varenicline,Potassium Chloride,Toxicity to various agents,2.5
Prochlorperazine,zolpidem,Hepatotoxicity,1.66667
Prochlorperazine,zolpidem,Drug toxicity,3.24324
Prochlorperazine,zolpidem,Toxicity to various agents,1.0
Betamethasone,Nitroglycerin,Skin toxicity,5.0
Betamethasone,Nitroglycerin,Toxicity to various agents,4.0
Pyrazinamide,Fluconazole,Hepatotoxicity,70.0
valsartan,Codeine,Drug toxicity,1.42857
valsartan,Codeine,Therapeutic agent toxicity,5.0
valsartan,Codeine,Toxicity to various agents,3.63636
Simethicone,Cetirizine,Drug toxicity,10.0
Simethicone,Cetirizine,Toxicity to various agents,6.66667
atorvastatin,anastrozole,Haematotoxicity,3.33333
atorvastatin,anastrozole,Hepatotoxicity,0.833333
atorvastatin,anastrozole,Drug toxicity,0.384615
atorvastatin,anastrozole,Therapeutic agent toxicity,3.0
atorvastatin,anastrozole,Toxicity to various agents,0.441176
tinzaparin,Penicillin V,Hepatotoxicity,10.0
Diltiazem,Gemfibrozil,Drug toxicity,2.0
Diltiazem,Gemfibrozil,Therapeutic agent toxicity,20.0
Diltiazem,Gemfibrozil,Toxicity to various agents,1.76471
Aspirin,picosulfate sodium,Drug toxicity,3.33333
Captopril,Escitalopram,Toxicity to various agents,3.33333
olmesartan,Ergocalciferol,Toxicity to various agents,3.33333
colesevelam,Fentanyl,Toxicity to various agents,3.33333
Amlodipine,Simethicone,Drug toxicity,3.33333
Amlodipine,Simethicone,Toxicity to various agents,2.0
Docusate,Ketorolac,Drug toxicity,6.66667
Docusate,Ketorolac,Toxicity to various agents,2.0
Diphenhydramine,acamprosate,Toxicity to various agents,10.0
Valproate,sitagliptin,Toxicity to various agents,1.66667
oxcarbazepine,levothyroxine,Drug toxicity,1.05263
oxcarbazepine,levothyroxine,Pulmonary toxicity,20.0
oxcarbazepine,levothyroxine,Therapeutic agent toxicity,4.0
oxcarbazepine,levothyroxine,Toxicity to various agents,1.85185
telaprevir,Prednisone,Toxicity to various agents,3.33333
Hydrocodone,Ofloxacin,Toxicity to various agents,10.0
prednisolone,rofecoxib,Drug toxicity,4.0
Clonidine,Interferon beta-1a,Drug toxicity,2.5
Estradiol,Hydrocodone,Hepatotoxicity,2.22222
Estradiol,Hydrocodone,Neurotoxicity,1.42857
Estradiol,Hydrocodone,Skin toxicity,5.0
Estradiol,Hydrocodone,Therapeutic agent toxicity,1.66667
Estradiol,Hydrocodone,Toxicity to various agents,0.31746
lamotrigine,Vigabatrin,Drug toxicity,1.0
lamotrigine,Vigabatrin,Neurotoxicity,5.0
Sotalol,Levofloxacin,Toxicity to various agents,20.0
Mometasone,olmesartan,Toxicity to various agents,4.0
Budesonide,Bupropion,Drug toxicity,4.0
Budesonide,Bupropion,Toxicity to various agents,3.75
Ramipril,Theophylline,Drug toxicity,10.0
Cyclophosphamide,Mitoxantrone,Bone marrow toxicity,10.0
Cyclophosphamide,Mitoxantrone,Haematotoxicity,50.0
Cyclophosphamide,Mitoxantrone,Cardiotoxicity,20.0
Cyclophosphamide,Mitoxantrone,Gastrointestinal toxicity,3.33333
Cyclophosphamide,Mitoxantrone,Hepatotoxicity,1.42857
Cyclophosphamide,Mitoxantrone,Drug toxicity,3.0
Cyclophosphamide,Mitoxantrone,Neurotoxicity,10.0
Cyclophosphamide,Mitoxantrone,Toxicity to various agents,1.5625
Chlorthalidone,oxybutynin,Drug toxicity,10.0
Trimethoprim,Valproate,Hepatotoxicity,2.5
Trimethoprim,Valproate,Drug toxicity,2.5
Trimethoprim,Valproate,Toxicity to various agents,7.77778
Atropine,Propoxyphene,Toxicity to various agents,13.3333
pyridoxine,Alprazolam,Toxicity to various agents,2.5
dofetilide,Mirtazapine,Toxicity to various agents,10.0
Diphenhydramine,Propafenone,Toxicity to various agents,10.0
lamotrigine,Trimethoprim,Drug toxicity,20.0
lamotrigine,Trimethoprim,Toxicity to various agents,2.0
ramelteon,Diazepam,Drug toxicity,5.0
Furosemide,Ganciclovir,Haematotoxicity,5.0
Furosemide,Ganciclovir,Gastrointestinal toxicity,10.0
Furosemide,Ganciclovir,Hepatotoxicity,2.5
Furosemide,Ganciclovir,Drug toxicity,13.3333
Furosemide,Ganciclovir,Toxicity to various agents,1.0
zolpidem,Metoprolol,Hepatotoxicity,0.487805
zolpidem,Metoprolol,Drug toxicity,1.80851
zolpidem,Metoprolol,Therapeutic agent toxicity,5.90909
zolpidem,Metoprolol,Toxicity to various agents,1.88889
Fenofibrate,Atenolol,Hepatotoxicity,0.909091
Fenofibrate,Atenolol,Drug toxicity,0.526316
Fenofibrate,Atenolol,Therapeutic agent toxicity,1.81818
Fenofibrate,Atenolol,Toxicity to various agents,0.869565
Celiprolol,Potassium Chloride,Toxicity to various agents,10.0
Magnesium Chloride,Methylprednisolone,Toxicity to various agents,5.0
Tramadol,ethylene glycol,Toxicity to various agents,30.0
"Estrogens, Conjugated (USP)",ezetimibe,Drug toxicity,1.0
"Estrogens, Conjugated (USP)",ezetimibe,Therapeutic agent toxicity,10.0
"Estrogens, Conjugated (USP)",ezetimibe,Toxicity to various agents,1.66667
Esomeprazole,lactitol,Toxicity to various agents,10.0
Albuterol,Insulin Lispro,Drug toxicity,0.833333
Albuterol,Insulin Lispro,Therapeutic agent toxicity,30.0
Albuterol,Insulin Lispro,Toxicity to various agents,0.882353
Amlodipine,modafinil,Toxicity to various agents,0.714286
Spironolactone,picosulfate sodium,Drug toxicity,10.0
Carisoprodol,zoledronic acid,Toxicity to various agents,10.0
tapentadol,Clonidine,Toxicity to various agents,10.0
Clonidine,Finasteride,Toxicity to various agents,2.5
Famotidine,Simvastatin,Bone marrow toxicity,3.33333
Famotidine,Simvastatin,Hepatotoxicity,3.0
Famotidine,Simvastatin,Drug toxicity,0.555556
Famotidine,Simvastatin,Pulmonary toxicity,1.42857
Famotidine,Simvastatin,Therapeutic agent toxicity,2.5
Famotidine,Simvastatin,Toxicity to various agents,1.25
Midazolam,Vancomycin,Gastrointestinal toxicity,20.0
Midazolam,Vancomycin,Hepatotoxicity,3.33333
Midazolam,Vancomycin,Drug toxicity,2.10526
Midazolam,Vancomycin,Neurotoxicity,1.66667
Midazolam,Vancomycin,Pulmonary toxicity,10.0
Midazolam,Vancomycin,Toxicity to various agents,1.11111
Levodopa,Metoclopramide,Toxicity to various agents,2.5
Etanercept,pamidronate,Toxicity to various agents,3.33333
Esomeprazole,Meprobamate,Toxicity to various agents,5.0
zopiclone,gabapentin,Drug toxicity,4.16667
zopiclone,gabapentin,Toxicity to various agents,3.33333
Loperamide,Amiodarone,Toxicity to various agents,5.0
Vitamin B 12,Propranolol,Drug toxicity,5.0
Vitamin B 12,Propranolol,Toxicity to various agents,1.0
Cetirizine,Hydroxychloroquine,Hepatotoxicity,3.33333
Cetirizine,Hydroxychloroquine,Drug toxicity,1.0
Cimetidine,Promethazine,Drug toxicity,5.0
Cimetidine,Promethazine,Toxicity to various agents,12.5
Clonazepam,Flecainide,Toxicity to various agents,22.5
Acetaminophen,Chlormethiazole,Toxicity to various agents,10.0
telmisartan,Nitrendipine,Toxicity to various agents,10.0
Dutasteride,celecoxib,Toxicity to various agents,13.3333
Lisinopril,Sodium ferric gluconate complex,Drug toxicity,10.0
pantoprazole,benazepril,Drug toxicity,0.588235
pantoprazole,benazepril,Therapeutic agent toxicity,12.5
pantoprazole,benazepril,Toxicity to various agents,1.03448
pioglitazone,Indomethacin,Toxicity to various agents,2.5
Morphine,anastrozole,Hepatotoxicity,10.0
Morphine,anastrozole,Toxicity to various agents,3.63636
Phenylephrine,Hydrocortisone,Neurotoxicity,20.0
Salsalate,Fentanyl,Toxicity to various agents,20.0
Betamethasone,tiotropium,Toxicity to various agents,1.66667
donepezil,Iron,Toxicity to various agents,10.0
Amitriptyline,Ketoconazole,Drug toxicity,3.33333
travoprost,atorvastatin,Drug toxicity,3.33333
travoprost,atorvastatin,Therapeutic agent toxicity,10.0
Midazolam,Ceftazidime,Therapeutic agent toxicity,10.0
flunisolide,Ondansetron,Toxicity to various agents,10.0
Diltiazem,pregabalin,Hepatotoxicity,1.42857
Diltiazem,pregabalin,Drug toxicity,0.625
Diltiazem,pregabalin,Therapeutic agent toxicity,10.0
Diltiazem,pregabalin,Toxicity to various agents,1.48148
Vitamin E,natalizumab,Toxicity to various agents,2.0
cefepime,Amitriptyline,Toxicity to various agents,10.0
Ramipril,Ranitidine,Hepatotoxicity,1.0
Ramipril,Ranitidine,Drug toxicity,1.25
Ramipril,Ranitidine,Therapeutic agent toxicity,0.833333
Ramipril,Ranitidine,Toxicity to various agents,2.88462
Atenolol,Cefuroxime,Toxicity to various agents,1.11111
Linagliptin,Clarithromycin,Toxicity to various agents,1.11111
Meperidine,Atenolol,Drug toxicity,5.0
tocilizumab,infliximab,Toxicity to various agents,0.666667
formoterol,atorvastatin,Hepatotoxicity,0.909091
formoterol,atorvastatin,Drug toxicity,0.625
formoterol,atorvastatin,Toxicity to various agents,1.11111
Procainamide,carvedilol,Toxicity to various agents,10.0
Cyanocobalamin Co57,Folic Acid,Haematotoxicity,10.0
Cyanocobalamin Co57,Folic Acid,Neurotoxicity,5.0
Cyanocobalamin Co57,Folic Acid,Toxicity to various agents,0.555556
Terazosin,pamidronate,Drug toxicity,10.0
Propranolol,Allopurinol,Hepatotoxicity,5.0
Propranolol,Allopurinol,Drug toxicity,1.42857
Propranolol,Allopurinol,Neurotoxicity,10.0
Propranolol,Allopurinol,Toxicity to various agents,0.714286
candesartan,formoterol,Hepatotoxicity,5.0
candesartan,formoterol,Drug toxicity,1.0
candesartan,formoterol,Toxicity to various agents,2.30769
imatinib,Levofloxacin,Toxicity to various agents,10.0
MAGNESIUM GLUCONATE,Metoprolol,Drug toxicity,3.33333
MAGNESIUM GLUCONATE,Metoprolol,Toxicity to various agents,5.0
Furosemide,Minocycline,Hepatotoxicity,5.0
Furosemide,Minocycline,Toxicity to various agents,2.0
Docusate,ezetimibe,Drug toxicity,1.66667
Cyclosporine,Thalidomide,Drug toxicity,1.66667
Cyclosporine,Thalidomide,Toxicity to various agents,8.0
Omeprazole,Apomorphine,Toxicity to various agents,5.0
pioglitazone,irbesartan,Hepatotoxicity,1.66667
Tiapride,Mirtazapine,Toxicity to various agents,20.0
ferrous sulfate,Ondansetron,Cardiotoxicity,10.0
ferrous sulfate,Ondansetron,Drug toxicity,0.47619
ferrous sulfate,Ondansetron,Therapeutic agent toxicity,2.5
ferrous sulfate,Ondansetron,Toxicity to various agents,2.35294
tadalafil,Prochlorperazine,Toxicity to various agents,20.0
Sumatriptan,tizanidine,Drug toxicity,1.0
Sumatriptan,tizanidine,Therapeutic agent toxicity,10.0
Sumatriptan,tizanidine,Toxicity to various agents,6.25
Acetaminophen,gatifloxacin,Hepatotoxicity,2.5
Acetaminophen,gatifloxacin,Drug toxicity,2.85714
Acetaminophen,gatifloxacin,Therapeutic agent toxicity,30.0
Acetaminophen,gatifloxacin,Toxicity to various agents,3.07692
Enoxaparin,Cisplatin,Ototoxicity,20.0
Enoxaparin,Cisplatin,Drug toxicity,3.33333
Enoxaparin,Cisplatin,Neurotoxicity,3.33333
Enoxaparin,Cisplatin,Pulmonary toxicity,20.0
Enoxaparin,Cisplatin,Toxicity to various agents,1.05263
Aspirin,Octreotide,Toxicity to various agents,1.25
Triamterene,Atenolol,Hepatotoxicity,3.33333
Triamterene,Atenolol,Drug toxicity,0.434783
Triamterene,Atenolol,Therapeutic agent toxicity,13.3333
Triamterene,Atenolol,Toxicity to various agents,1.29032
Cimetidine,levothyroxine,Drug toxicity,5.0
Cimetidine,levothyroxine,Toxicity to various agents,2.14286
Haloperidol,Nicotine,Toxicity to various agents,2.5
latanoprost,Amiodarone,Drug toxicity,10.0
salmon calcitonin,Alendronate,Drug toxicity,1.42857
salmon calcitonin,Alendronate,Therapeutic agent toxicity,3.33333
salmon calcitonin,Alendronate,Toxicity to various agents,0.555556
Hydralazine,glimepiride,Toxicity to various agents,1.11111
olmesartan,Ketoprofen,Toxicity to various agents,4.0
insulin detemir,Amitriptyline,Neurotoxicity,10.0
Methocarbamol,Theophylline,Toxicity to various agents,5.0
Norfloxacin,Spironolactone,Drug toxicity,5.0
Buprenorphine,Nitroglycerin,Drug toxicity,1.25
Buprenorphine,Nitroglycerin,Therapeutic agent toxicity,3.33333
Buprenorphine,Nitroglycerin,Toxicity to various agents,2.6087
Dutasteride,Isosorbide,Drug toxicity,2.5
Buspirone,Trazodone,Hepatotoxicity,2.5
Buspirone,Trazodone,Drug toxicity,2.33333
Buspirone,Trazodone,Therapeutic agent toxicity,1.66667
Buspirone,Trazodone,Toxicity to various agents,2.77778
Sulfasalazine,Metoprolol,Toxicity to various agents,1.66667
Calcium Carbonate,lubiprostone,Toxicity to various agents,5.0
Nortriptyline,Morphine,Drug toxicity,11.6667
Nortriptyline,Morphine,Toxicity to various agents,15.5556
Ceftriaxone,Carbamazepine,Drug toxicity,2.0
Ceftriaxone,Carbamazepine,Toxicity to various agents,10.0
Perindopril,Amiodarone,Cardiotoxicity,10.0
Perindopril,Amiodarone,Hepatotoxicity,6.66667
Perindopril,Amiodarone,Drug toxicity,0.909091
Perindopril,Amiodarone,Pulmonary toxicity,5.0
Perindopril,Amiodarone,Therapeutic agent toxicity,15.0
Perindopril,Amiodarone,Toxicity to various agents,0.571429
Sumatriptan,nabumetone,Toxicity to various agents,10.0
calcium acetate,standardized senna concentrate,Hepatotoxicity,10.0
calcium acetate,standardized senna concentrate,Toxicity to various agents,10.0
valacyclovir,Betamethasone,Drug toxicity,10.0
valacyclovir,Betamethasone,Toxicity to various agents,3.33333
Finasteride,Digoxin,Cardiotoxicity,3.33333
Finasteride,Digoxin,Drug toxicity,0.526316
Finasteride,Digoxin,Therapeutic agent toxicity,12.5
Finasteride,Digoxin,Toxicity to various agents,8.18182
Ethinyl Estradiol,Metoprolol,Hepatotoxicity,4.0
Ethinyl Estradiol,Metoprolol,Drug toxicity,0.714286
Ethinyl Estradiol,Metoprolol,Toxicity to various agents,1.0
Oxygen,desflurane,Hepatotoxicity,10.0
Diphenoxylate,cilostazol,Therapeutic agent toxicity,10.0
pamidronate,Fluconazole,Neurotoxicity,10.0
pamidronate,Fluconazole,Toxicity to various agents,2.22222
valacyclovir,venlafaxine,Drug toxicity,4.28571
valacyclovir,venlafaxine,Therapeutic agent toxicity,10.0
valacyclovir,venlafaxine,Toxicity to various agents,1.76471
Risperidone,Clomipramine,Hepatotoxicity,3.33333
Risperidone,Clomipramine,Toxicity to various agents,5.0
Azithromycin,Metoprolol,Hepatotoxicity,2.72727
Azithromycin,Metoprolol,Drug toxicity,0.434783
Azithromycin,Metoprolol,Pulmonary toxicity,5.0
Azithromycin,Metoprolol,Therapeutic agent toxicity,43.3333
Azithromycin,Metoprolol,Toxicity to various agents,4.28571
Perindopril,alfuzosin,Hepatotoxicity,10.0
Perindopril,alfuzosin,Toxicity to various agents,4.0
topiramate,Omeprazole,Hepatotoxicity,0.666667
topiramate,Omeprazole,Drug toxicity,0.666667
topiramate,Omeprazole,Therapeutic agent toxicity,2.85714
topiramate,Omeprazole,Toxicity to various agents,0.533333
Ibuprofen,Bisoprolol,Hepatotoxicity,5.0
Ibuprofen,Bisoprolol,Drug toxicity,0.769231
Ibuprofen,Bisoprolol,Toxicity to various agents,0.909091
pioglitazone,Paroxetine,Hepatotoxicity,6.66667
pioglitazone,Paroxetine,Therapeutic agent toxicity,10.0
pioglitazone,Paroxetine,Toxicity to various agents,0.588235
Perindopril,Cyclophosphamide,Toxicity to various agents,2.0
Metoclopramide,Quinine,Toxicity to various agents,10.0
fluticasone,ertapenem,Toxicity to various agents,10.0
Albuterol,cilostazol,Therapeutic agent toxicity,10.0
Albuterol,cilostazol,Toxicity to various agents,1.66667
pipamperone,zolpidem,Toxicity to various agents,10.0
Bupropion,Nifedipine,Drug toxicity,2.5
Bupropion,Nifedipine,Toxicity to various agents,0.833333
Levetiracetam,"Insulin, Aspart, Human",Toxicity to various agents,2.0
glimepiride,ciprofibrate,Toxicity to various agents,40.0
Thiamine,Atenolol,Therapeutic agent toxicity,5.0
Furosemide,Water,Drug toxicity,5.0
Furosemide,Water,Toxicity to various agents,10.0
"sennosides, USP",Metoclopramide,Neurotoxicity,15.0
"sennosides, USP",Metoclopramide,Therapeutic agent toxicity,10.0
"sennosides, USP",Metoclopramide,Toxicity to various agents,0.5
Acitretin,Metformin,Hepatotoxicity,10.0
Acitretin,Metformin,Toxicity to various agents,3.33333
Hydrocodone,Desipramine,Toxicity to various agents,40.0
Methotrexate,Hydroxyzine,Haematotoxicity,10.0
Methotrexate,Hydroxyzine,Drug toxicity,1.0
Methotrexate,Hydroxyzine,Toxicity to various agents,1.92308
Cephalexin,Piroxicam,Toxicity to various agents,5.0
Hyoscyamine,Diltiazem,Toxicity to various agents,50.0
Cefotaxime,Amikacin,Hepatotoxicity,5.0
Cefotaxime,Amikacin,Drug toxicity,3.33333
Cefotaxime,Amikacin,Toxicity to various agents,3.33333
Morphine,Chloramphenicol,Therapeutic agent toxicity,10.0
Pseudoephedrine,clopidogrel,Drug toxicity,10.0
Pseudoephedrine,clopidogrel,Therapeutic agent toxicity,20.0
Fosinopril,Theophylline,Toxicity to various agents,5.0
Teriparatide,levothyroxine,Drug toxicity,0.298507
Mirtazapine,peginterferon alfa-2b,Drug toxicity,5.0
Bisoprolol,Amiodarone,Hepatotoxicity,1.73913
Bisoprolol,Amiodarone,Drug toxicity,1.26984
Bisoprolol,Amiodarone,Pulmonary toxicity,2.22222
Bisoprolol,Amiodarone,Therapeutic agent toxicity,3.33333
Bisoprolol,Amiodarone,Toxicity to various agents,1.75824
Bromhexine,Carbamazepine,Toxicity to various agents,10.0
infliximab,Rabbit anti-human T-lymphocyte globulin,Toxicity to various agents,10.0
Filgrastim,Propofol,Hepatotoxicity,10.0
Filgrastim,Propofol,Drug toxicity,10.0
Hydrocortisone,"sennosides, USP",Haematotoxicity,10.0
Hydrocortisone,"sennosides, USP",Drug toxicity,2.5
Hydrocortisone,"sennosides, USP",Toxicity to various agents,1.25
Oxygen,gemcitabine,Drug toxicity,5.0
Oxygen,gemcitabine,Pulmonary toxicity,10.0
Nitrofurantoin,Cephalexin,Hepatotoxicity,10.0
Nitrofurantoin,Cephalexin,Drug toxicity,7.5
Nitrofurantoin,Cephalexin,Toxicity to various agents,5.0
Megestrol,Potassium Chloride,Drug toxicity,1.17647
Megestrol,Potassium Chloride,Therapeutic agent toxicity,50.0
Megestrol,Potassium Chloride,Toxicity to various agents,2.77778
Prednisone,montelukast,Drug toxicity,0.10101
Prednisone,montelukast,Therapeutic agent toxicity,0.689655
Prednisone,montelukast,Toxicity to various agents,0.647482
Levodopa,varenicline,Toxicity to various agents,10.0
valsartan,Dipyrone,Drug toxicity,3.33333
tamsulosin,mecobalamin,Toxicity to various agents,3.33333
Buprenorphine,Insulin Glargine,Hepatotoxicity,10.0
Buprenorphine,Insulin Glargine,Drug toxicity,2.0
Buprenorphine,Insulin Glargine,Therapeutic agent toxicity,20.0
Buprenorphine,Insulin Glargine,Toxicity to various agents,2.85714
Lovastatin,benazepril,Hepatotoxicity,2.0
Lovastatin,benazepril,Toxicity to various agents,1.11111
Etanercept,Fluocinonide,Drug toxicity,10.0
Esomeprazole,isoniazid,Drug toxicity,5.0
Esomeprazole,isoniazid,Toxicity to various agents,1.42857
montelukast,atomoxetine,Drug toxicity,5.0
fluticasone,oxaprozin,Drug toxicity,15.0
fluticasone,oxaprozin,Toxicity to various agents,10.0
liothyronine,Potassium Chloride,Toxicity to various agents,10.0
metaxalone,tiotropium,Drug toxicity,10.0
Metolazone,sitagliptin,Drug toxicity,5.0
Metolazone,sitagliptin,Toxicity to various agents,5.0
Alprazolam,Trazodone,Cardiotoxicity,0.588235
Alprazolam,Trazodone,Hepatotoxicity,0.714286
Alprazolam,Trazodone,Drug toxicity,2.70588
Alprazolam,Trazodone,Therapeutic agent toxicity,10.0
Alprazolam,Trazodone,Toxicity to various agents,4.75524
pantoprazole,lansoprazole,Gastrointestinal toxicity,3.33333
pantoprazole,lansoprazole,Hepatotoxicity,3.33333
pantoprazole,lansoprazole,Drug toxicity,0.857143
pantoprazole,lansoprazole,Therapeutic agent toxicity,5.0
pantoprazole,lansoprazole,Toxicity to various agents,5.0
Furosemide,oxaprozin,Drug toxicity,15.0
Furosemide,oxaprozin,Toxicity to various agents,6.66667
Thiotepa,Carmustine,Hepatotoxicity,10.0
Thiotepa,Carmustine,Toxicity to various agents,10.0
capecitabine,eribulin,Toxicity to various agents,8.0
Furosemide,Flunitrazepam,Cardiotoxicity,5.0
Cefotaxime,Methylprednisolone,Drug toxicity,4.0
Cefotaxime,Methylprednisolone,Toxicity to various agents,2.0
Diphenhydramine,Lisdexamfetamine,Toxicity to various agents,40.0
rofecoxib,Trazodone,Ototoxicity,10.0
rofecoxib,Trazodone,Drug toxicity,3.33333
rofecoxib,Trazodone,Neurotoxicity,20.0
rofecoxib,Trazodone,Therapeutic agent toxicity,15.0
rofecoxib,Trazodone,Toxicity to various agents,0.434783
Dexamethasone,Cyclosporine,Haematotoxicity,5.0
Dexamethasone,Cyclosporine,Cardiotoxicity,10.0
Dexamethasone,Cyclosporine,Drug toxicity,3.04348
Dexamethasone,Cyclosporine,Neurotoxicity,37.1429
Dexamethasone,Cyclosporine,Pulmonary toxicity,30.0
Dexamethasone,Cyclosporine,Toxicity to various agents,0.930233
Phentermine,Amitriptyline,Drug toxicity,40.0
Phentermine,Amitriptyline,Toxicity to various agents,30.0
tizanidine,natalizumab,Ototoxicity,10.0
tizanidine,natalizumab,Toxicity to various agents,1.66667
Adenosine,Simvastatin,Toxicity to various agents,3.33333
Glucose,Fentanyl,Drug toxicity,3.33333
Glucose,Fentanyl,Neurotoxicity,3.33333
Glucose,Fentanyl,Toxicity to various agents,3.75
Potassium Acetate,celecoxib,Toxicity to various agents,10.0
fluindione,Gliclazide,Drug toxicity,3.75
Hydrochlorothiazide,quinapril,Gastrointestinal toxicity,10.0
Hydrochlorothiazide,quinapril,Hepatotoxicity,1.0
Hydrochlorothiazide,quinapril,Drug toxicity,1.84211
Hydrochlorothiazide,quinapril,Pulmonary toxicity,5.0
Hydrochlorothiazide,quinapril,Therapeutic agent toxicity,2.5
Hydrochlorothiazide,quinapril,Toxicity to various agents,0.263158
Doxycycline,lenalidomide,Gastrointestinal toxicity,10.0
Phenylephrine,Cetirizine,Toxicity to various agents,5.0
Carisoprodol,valdecoxib,Drug toxicity,5.0
Carisoprodol,valdecoxib,Toxicity to various agents,5.0
salmeterol,dofetilide,Toxicity to various agents,3.33333
Hydroxyzine,Trazodone,Hepatotoxicity,4.0
Hydroxyzine,Trazodone,Drug toxicity,2.12121
Hydroxyzine,Trazodone,Neurotoxicity,1.11111
Hydroxyzine,Trazodone,Therapeutic agent toxicity,1.66667
Hydroxyzine,Trazodone,Toxicity to various agents,5.625
Bisacodyl,Insulin Lispro,Drug toxicity,5.0
Bisacodyl,Insulin Lispro,Toxicity to various agents,2.0
Trimethoprim,Bupropion,Drug toxicity,25.0
Trimethoprim,Bupropion,Therapeutic agent toxicity,20.0
Trimethoprim,Bupropion,Toxicity to various agents,2.85714
"insulin, isophane",glimepiride,Toxicity to various agents,2.63158
Risperidone,ethyl loflazepate,Toxicity to various agents,10.0
Warfarin,Misoprostol,Toxicity to various agents,3.33333
oxcarbazepine,zolpidem,Drug toxicity,5.38462
oxcarbazepine,zolpidem,Therapeutic agent toxicity,3.33333
oxcarbazepine,zolpidem,Toxicity to various agents,4.7619
Triamcinolone,Magnesium Oxide,Drug toxicity,2.5
Triamcinolone,Magnesium Oxide,Toxicity to various agents,2.0
Hydrocodone,Nortriptyline,Hepatotoxicity,1.0
Hydrocodone,Nortriptyline,Drug toxicity,4.28571
Hydrocodone,Nortriptyline,Toxicity to various agents,5.65217
Allopurinol,Amphotericin B,Gastrointestinal toxicity,20.0
Allopurinol,Amphotericin B,Hepatotoxicity,10.0
Allopurinol,Amphotericin B,Neurotoxicity,3.33333
Allopurinol,Amphotericin B,Toxicity to various agents,0.714286
Losartan,Ticagrelor,Toxicity to various agents,1.66667
Vancomycin,levothyroxine,Hepatotoxicity,3.33333
Vancomycin,levothyroxine,Drug toxicity,0.769231
Vancomycin,levothyroxine,Neurotoxicity,1.66667
Vancomycin,levothyroxine,Pulmonary toxicity,2.5
Vancomycin,levothyroxine,Therapeutic agent toxicity,10.0
Vancomycin,levothyroxine,Toxicity to various agents,1.62162
exemestane,Famotidine,Toxicity to various agents,10.0
Ascorbic Acid,Acetaminophen,Hepatotoxicity,2.0
Ascorbic Acid,Acetaminophen,Drug toxicity,0.888889
Ascorbic Acid,Acetaminophen,Therapeutic agent toxicity,2.85714
Ascorbic Acid,Acetaminophen,Toxicity to various agents,1.2766
Megestrol,Finasteride,Drug toxicity,10.0
Diphenhydramine,Fluconazole,Cardiotoxicity,3.33333
Diphenhydramine,Fluconazole,Ototoxicity,5.0
Diphenhydramine,Fluconazole,Gastrointestinal toxicity,5.0
Diphenhydramine,Fluconazole,Hepatotoxicity,8.33333
Diphenhydramine,Fluconazole,Drug toxicity,5.38462
Diphenhydramine,Fluconazole,Neurotoxicity,4.0
Diphenhydramine,Fluconazole,Therapeutic agent toxicity,8.0
Diphenhydramine,Fluconazole,Toxicity to various agents,1.05263
Amlodipine,cyamemazine,Toxicity to various agents,7.5
Oxymorphone,Hydroxyzine,Drug toxicity,80.0
Oxymorphone,Hydroxyzine,Toxicity to various agents,10.0
nilotinib,Prednisone,Toxicity to various agents,1.66667
Sodium Bicarbonate,lansoprazole,Hepatotoxicity,5.0
Sodium Bicarbonate,lansoprazole,Drug toxicity,1.25
Sodium Bicarbonate,lansoprazole,Therapeutic agent toxicity,10.0
Methadone,Ibuprofen,Drug toxicity,17.7778
Methadone,Ibuprofen,Toxicity to various agents,21.7647
